bookID,title,authors,average_rating,  num_pages
576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,575
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,245
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,272
619,Vice (V  #8),Jane Feather,3.51,419
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,540
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,32
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,408
643,Motorcycle Basics Techbook,John Harold Haynes,3.85,222
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,191
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,304
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,1392
658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,352
662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,1168
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,224
664,The Fountainhead,Ayn Rand,3.87,752
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,176
667,Anthem,Ayn Rand,3.63,105
668,We the Living,Ayn Rand/Leonard Peikoff,3.91,464
669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,340
670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,681
672,Sailing for Dummies,J.J. Isler/Peter Isler,3.95,416
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,368
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,192
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,286
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,571
685,The Natural,Bernard Malamud/Kevin Baker,3.63,231
698,Digging to America,Anne Tyler,3.55,277
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77,826
702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,528
703,The Plot Against America,Philip Roth,3.77,391
707,Naked Pictures of Famous People,Jon   Stewart,3.59,164
759,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,352
762,Crónica de una muerte anunciada,Gabriel García Márquez,3.97,118
763,Cien años de soledad,Gabriel García Márquez,4.07,496
764,Del amor y otros demonios,Gabriel García Márquez,3.98,176
765,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99,533
766,Memoria de mis putas tristes,Gabriel García Márquez,3.60,112
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,425
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29,288
787,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75,363
793,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83,128
797,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,4.03,480
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0.00,295
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,287
816,Cryptonomicon,Neal Stephenson,4.25,1139
821,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.10,418
822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,815
823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,927
824,The Cobweb,Neal Stephenson/J. Frederick George,3.61,448
826,The Big U,Neal Stephenson,3.25,308
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19,499
828,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,3.68,640
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.20,464
830,Snow Crash,Neal Stephenson/Guy Abadia,4.03,438
834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,4.16,450
835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,4.24,381
840,The Design of Everyday Things,Donald A. Norman,4.17,240
841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.95,272
842,The Psychology of Everyday Things,Donald A. Norman,4.17,257
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27,259
864,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,3.86,192
865,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,197
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,192
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,192
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,192
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.50,192
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,200
872,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,3.86,198
873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52,192
880,Pompeii,Robert   Harris,3.82,274
888,The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,3.60,360
890,Of Mice and Men,John Steinbeck,3.87,103
900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74,464
902,The Westing Game,Ellen Raskin,4.02,182
903,The Egypt Game,Zilpha Keatley Snyder,3.83,215
929,Memoirs of a Geisha,Arthur Golden,4.11,503
930,Memoirs of a Geisha,Arthur Golden,4.11,434
931,Memoirs of a Geisha,Arthur Golden,4.11,497
932,Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,4.08,144
933,Memoirs of a Geisha,Arthur Golden,4.11,497
935,Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93,334
941,Love As A Foreign Language #5,J. Torres/Eric  Kim,3.44,58
944,Jungle Love,Margaret Johnson/Philip Prowse,3.41,95
955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.70,0
960,Angels & Demons (Robert Langdon  #1),Dan Brown,3.89,736
965,Ángeles y demonios (Robert Langdon  #1),Dan Brown,3.89,508
966,Angeles & Demonios,Dan Brown/Raúl Amundaray,3.89,18
968,The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,489
969,The Da Vinci Code,Dan Brown,3.84,467
972,Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,3.84,744
975,Deception Point,Dan Brown,3.71,736
977,Deception Point,Dan Brown,3.71,585
980,Deception Point,Dan Brown,3.71,448
987,A Killing Rain (Louis Kincaid  #6),P.J. Parrish,4.04,383
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,4.03,258
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,320
1007,Think and Grow Rich,Napoleon Hill,4.18,368
1014,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,3.58,256
1022,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,3.95,288
1032,Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,3.66,384
1052,The Richest Man in Babylon,George S. Clason,4.26,194
1053,The Richest Man in Babylon,George S. Clason,4.26,4
1059,Shibumi,Trevanian/Gisela Stege,4.21,480
1067,1776,David McCullough,4.07,386
1068,1776,Peter  Stone/Sherman Edwards,4.22,192
1073,The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,3.62,284
1078,The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,418
1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,3.93,5
1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,399
1099,Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,3.74,384
1103,Snow Flower and the Secret Fan,Lisa See,4.07,269
1110,The Broker,John Grisham,3.78,422
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.51,1344
1117,The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,3.75,320
1120,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,3.74,201
1121,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,3.65,288
1123,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,3.95,405
1130,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,4.13,245
1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,4.07,432
1164,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,3.15,368
1167,Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,3.99,68
1169,Monkey Business,Sarah Mlynowski,3.67,392
1171,Liar's Poker,Michael   Lewis,4.15,256
1177,Liar's Poker: A Harry Garnish Mystery,Frank McConnell,3.31,214
1188,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,4.08,64
1191,Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,3.96,256
1192,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,3.95,256
1193,Everyday Pasta,Giada De Laurentiis/Victoria Pearson,4.09,240
1196,Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,4.09,256
1197,Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,4.06,304
1198,Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,3.92,287
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,320
1204,Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,3.97,250
1206,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,496
1218,The Last Assassin (John Rain  #5),Barry Eisler,4.27,338
1226,Life of Pi,Yann Martel,3.91,401
1230,L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel,3.91,448
1234,Shadows and Wind: A View of Modern Vietnam,Robert Templer,3.49,400
1241,A Million Little Pieces,James Frey,3.65,515
1242,A Million Little Pieces of Feces,Python Bonkers,3.56,256
1243,A Million Little Lies,James Pinocchio/Pablo Fenjves,3.41,191
1246,The Leadership Challenge,James M. Kouzes/Barry Z. Posner,4.05,458
1252,Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,4.14,193
1255,Leadership in Organizations,Gary Yukl,3.68,542
1265,Leadership,Rudolph W. Giuliani,3.72,397
1274,Men Are from Mars  Women Are from Venus,John Gray,3.55,368
1276,Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray,3.62,368
1281,Men Are from Mars  Women Are from Venus,John Gray,3.55,2
1290,How to Succeed with Women,Ron  Louis/David Copeland,3.76,320
1295,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05,512
1296,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05,468
1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.26,317
1302,Juiced Official Strategy Guide,Doug Walsh,0.00,112
1303,The 48 Laws of Power,Robert Greene/Joost Elffers,4.18,452
1305,Gates of Fire,Steven Pressfield,4.42,392
1307,Fire Sea (The Death Gate Cycle  #3),Margaret Weis/Tracy Hickman,4.07,414
1312,The Gate of Fire (Oath Of Empire Book Two),Thomas Harlan,3.58,721
1315,The Afghan Campaign,Steven Pressfield,3.96,354
1317,Tides of War,Steven Pressfield,3.90,448
1318,Last of the Amazons,Steven Pressfield,3.76,400
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,4.00,168
1320,Gita on the Green,Stephen J. Rosen/Steven Pressfield,3.78,176
1322,Blood Stripes: The Grunt's View of the War in Iraq,David J. Danelo/Steven Pressfield,3.91,340
1326,Phaedrus and Letters VII and VIII,Plato/Walter Hamilton,4.10,160
1327,Phaedrus,Plato/Robin Waterfield,3.92,128
1328,Phaedrus,Plato/C.J. Rowe,3.92,176
1334,Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett,4.47,157
1337,Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,4.50,125
1338,On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato/C.D.C. Reeve,4.06,272
1342,Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.,4.35,233
1351,Statesman,Plato/C.J. Rowe,3.85,128
1354,Gorgias,Plato/Walter Hamilton/Chris Emlyn-Jones,3.95,208
