bookID,title,authors,average_rating,  num_pages
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,652
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,870
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,352
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,435
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,2690
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,152
10,Anastasia te riega la mandanga,La terfa,4.73,123
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,215
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,6
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815
21,A Short History of Nearly Everything,Bill Bryson,4.21,544
22,Bill Bryson's African Diary,Bill Bryson,3.44,55
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,256
24,In a Sunburned Country,Bill Bryson,4.07,335
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.90,304
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,299
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,254
28,Notes from a Small Island,Bill Bryson,3.91,324
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,270
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,1728
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.50,1184
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,398
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.50,1216
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,218
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.50,224
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,558
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,208
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.00,48
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,144
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,56
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,228
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,304
58,Changeling (Changeling  #1),Delia Sherman,3.60,256
59,The Changeling Sea,Patricia A. McKillip,4.06,137
61,The Changeling,Zilpha Keatley Snyder,4.17,228
63,The Changeling,Kate Horsley,3.55,339
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,369
67,The Known World,Edward P. Jones,3.83,388
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,14
69,The Known World,Edward P. Jones,3.83,576
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,334
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,352
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,416
75,Uncommon Carriers,John McPhee,3.95,248
76,Heirs of General Practice,John McPhee,4.17,128
77,The Control of Nature,John McPhee,4.24,288
78,Annals of the Former World,John McPhee,4.34,720
79,Coming Into the Country,John McPhee,4.22,448
80,La Place de la Concorde Suisse,John McPhee,3.92,160
81,Giving Good Weight,John McPhee,4.23,288
83,Rising from the Plains,John McPhee,4.23,208
85,The Heidi Chronicles,Wendy Wasserstein,3.75,81
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,249
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,138
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,128
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,192
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,108
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,352
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,192
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,192
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,832
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,123
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,128
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,423
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,436
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,331
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,592
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,480
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,426
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,471
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,192
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,544
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,291
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,256
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,205
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,240
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,336
133,eBay for Dummies,Marsha Collier,3.50,386
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,260
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,384
