bookID,title,authors,Available
865,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,True
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,True
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,True
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,True
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,True
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,True
872,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,True
873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,True
880,Pompeii,Robert   Harris,True
888,The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,True
890,Of Mice and Men,John Steinbeck,True
900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,True
902,The Westing Game,Ellen Raskin,True
903,The Egypt Game,Zilpha Keatley Snyder,True
929,Memoirs of a Geisha,Arthur Golden,True
930,Memoirs of a Geisha,Arthur Golden,True
931,Memoirs of a Geisha,Arthur Golden,True
932,Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,True
933,Memoirs of a Geisha,Arthur Golden,True
935,Geisha of Gion,Mineko Iwasaki/Rande Brown,True
941,Love As A Foreign Language #5,J. Torres/Eric  Kim,True
944,Jungle Love,Margaret Johnson/Philip Prowse,True
955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,True
960,Angels & Demons (Robert Langdon  #1),Dan Brown,True
965,Ángeles y demonios (Robert Langdon  #1),Dan Brown,True
966,Angeles & Demonios,Dan Brown/Raúl Amundaray,True
968,The Da Vinci Code (Robert Langdon  #2),Dan Brown,True
969,The Da Vinci Code,Dan Brown,True
972,Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,True
975,Deception Point,Dan Brown,True
977,Deception Point,Dan Brown,True
980,Deception Point,Dan Brown,True
987,A Killing Rain (Louis Kincaid  #6),P.J. Parrish,True
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,True
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,True
1007,Think and Grow Rich,Napoleon Hill,True
1014,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,True
1022,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,True
1032,Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,True
1052,The Richest Man in Babylon,George S. Clason,True
1053,The Richest Man in Babylon,George S. Clason,True
1059,Shibumi,Trevanian/Gisela Stege,True
1067,1776,David McCullough,True
1068,1776,Peter  Stone/Sherman Edwards,True
1073,The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,True
1078,The Good Earth (House of Earth  #1),Pearl S. Buck,True
1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,True
1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,True
1099,Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,True
1103,Snow Flower and the Secret Fan,Lisa See,True
1110,The Broker,John Grisham,True
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,True
1117,The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,True
1120,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,True
1121,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,True
1123,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,True
1130,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,True
1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,True
1164,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,True
1167,Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,True
1169,Monkey Business,Sarah Mlynowski,True
1171,Liar's Poker,Michael   Lewis,True
1177,Liar's Poker: A Harry Garnish Mystery,Frank McConnell,True
1188,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,True
1191,Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,True
1192,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,True
1193,Everyday Pasta,Giada De Laurentiis/Victoria Pearson,True
1196,Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,True
1197,Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,True
1198,Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,True
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,True
1204,Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,True
1206,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,True
1218,The Last Assassin (John Rain  #5),Barry Eisler,True
1226,Life of Pi,Yann Martel,True
1230,L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel,True
1234,Shadows and Wind: A View of Modern Vietnam,Robert Templer,True
1241,A Million Little Pieces,James Frey,True
1242,A Million Little Pieces of Feces,Python Bonkers,True
1243,A Million Little Lies,James Pinocchio/Pablo Fenjves,True
1246,The Leadership Challenge,James M. Kouzes/Barry Z. Posner,True
